BAIT_GENE_ID	BAIT_OFFICIAL_SYMBOL	PREY_GENE_ID	PREY_OFFICIAL_SYMBOL	EXPERIMENTAL_SYSTEM	leastAppearances	randBool	firstLetters	possibleSightings	favWords	favFloat
2885	GRB2	10657	KHDRBS1	Two-Hybrid	1	TRUE	b	657	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	6655	SOS2	Two-Hybrid	1	FALSE	c	53	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7532	YWHAG	23136	EPB41L3	Two-Hybrid	1	TRUE	a	53	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
6721	SREBF2	6667	SP1	Two-Hybrid	1	FALSE	b	43	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7534	YWHAZ	7128	TNFAIP3	Two-Hybrid	1	TRUE	c	23	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
9448	MAP4K4	6548	SLC9A1	Two-Hybrid	1	TRUE	a	23	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1495	CTNNA1	3728	JUP	Two-Hybrid	1	FALSE	b	23	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	4582	MUC1	Two-Hybrid	1	TRUE	c	2	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	868	CBLB	Two-Hybrid	1	TRUE	a	32	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
6280	S100A9	6279	S100A8	Two-Hybrid	1	FALSE	b	3	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5879	RAC1	8871	SYNJ2	Two-Hybrid	1	TRUE	c	23	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	2889	RAPGEF1	Two-Hybrid	1	FALSE	a	2	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
6721	SREBF2	7329	UBE2I	Two-Hybrid	1	TRUE	b	6	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	1730	DIAPH2	Two-Hybrid	1	FALSE	c	45	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	2549	GAB1	Two-Hybrid	1	TRUE	a	3	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	2804	GOLGB1	Two-Hybrid	1	FALSE	b	7	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	9846	GAB2	Two-Hybrid	1	TRUE	c	35	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	4512	COX1	Two-Hybrid	1	FALSE	a	3	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	4646	MYO6	Two-Hybrid	1	TRUE	b	65	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	4649	MYO9A	Two-Hybrid	1	FALSE	c	13	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	5063	PAK3	Two-Hybrid	1	TRUE	a	4	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	5393	EXOSC9	Two-Hybrid	1	FALSE	b	28	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	5903	RANBP2	Two-Hybrid	1	TRUE	c	9	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	5910	RAP1GDS1	Two-Hybrid	1	TRUE	a	2	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	4820	NKTR	Two-Hybrid	1	FALSE	b	4	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	399687	MYO18A	Two-Hybrid	1	TRUE	c	93	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
2885	GRB2	7316	UBC	Two-Hybrid	1	TRUE	a	69	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
3265	HRAS	5863	RGL2	Two-Hybrid	1	FALSE	b	1	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
4215	MAP3K3	10987	COPS5	Two-Hybrid	1	TRUE	c	3	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5058	PAK1	147686	ZNF418	Two-Hybrid	1	FALSE	a	5	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5597	MAPK6	8550	MAPKAPK5	Two-Hybrid	1	TRUE	b	58	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
5879	RAC1	50649	ARHGEF4	Two-Hybrid	1	FALSE	c	80	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7531	YWHAE	65125	WNK1	Two-Hybrid	1	TRUE	a	25	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7531	YWHAE	84218	TBC1D3F	Two-Hybrid	1	FALSE	b	69	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7532	YWHAG	23327	NEDD4L	Two-Hybrid	1	TRUE	c	0	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7534	YWHAZ	65125	WNK1	Two-Hybrid	1	FALSE	a	34	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	6091	ROBO1	Two-Hybrid	1	TRUE	b	84	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
1432	MAPK14	6711	SPTBN1	Two-Hybrid	1	FALSE	c	28	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	6047	RNF4	Two-Hybrid	1	TRUE	a	0	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	6146	RPL22	Two-Hybrid	1	FALSE	b	6	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
3265	HRAS	23179	RGL1	Two-Hybrid	1	TRUE	c	7	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
998	CDC42	6280	S100A9	Two-Hybrid	1	TRUE	a	32	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
7329	UBE2I	6672	SP100	Two-Hybrid	1	FALSE	b	4	"[""Hi"", ""Bye""]"	"[1.2, 32.4]"
